S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
80,SUPERMAN 2050 Midwest Tour/High-Speed Rail Documentary,Theater,US,Zachary Baker-Salmon,Seven actors. 21 square feet. Does Superman have what it takes save the Midwest and its high-speed train system from destruction?
311B,"or, The Whale: an original stage adaptation of Moby-Dick",Plays,United States,Kate Russell,Experience the great American novel like never before.... Through the magic of live storytelling in an epic and threadbare sort of way.
152B,Crossing Swords - the Battle for the Soul of Marriage - Book,Nonfiction,United States,Cindy Peyser Safronoff,A comparative biographical story focused on two sides of an 1870s American marriage debate during the early women's rights movement
130B,The Magical History Tour: Theater! On a Boat! With Pirates!,Theater,United States,Allegra Schorr & the Floating Theater,"An original theatrical, historical tour of NY harbor. Time-traveling pirates seeking riches discover America's greatest treasure."
165C,Graveyard Afterparty: A Reflection on Life & Death,Fiction,United States,IF Collective,A collection of storiesmusic and visual art inspired by the day of the dead.
353C,SOLDIER,Theater,United States,Jonathan Draxton,An original solo show that explores our capacity to find humanity in even our most hated enemies.
354B,Luminous Flux Photography Book,Art Books,United States,Todd Diederich,"Street Photography inspired by cosmology and the heavenly moment that tells you to take this image and run. It is, (y)our world 2013."
236C,Zalmania - A Book Of Portraits from The Prior PhotoHouse,Art Books,Canada,Sternthal Books,"Before cameras, Tel-Avivians went to the Pri-Or PhotoHouse to document their memories. Help us digitize portraits and make a book!"
303C,Here You Go,Publishing,United States,Julie Kresen,Here You Go inspires goodwill. We'll give 1000 people umbrellas when they are in the rain and encourage them to do something nice for someone else.
511C,Sterling Lion Theater Company,Theater,United States,Sterling Lion Theater Company,The Sterling Lion Theater Company is a non-profit theater group established for the benefit of the Connecticut lower Naugatuck Valley.
216B,FINDING ARUN : the debut novel by Marisha Pink,Fiction,United Kingdom,Marisha Pink,I quit my job to write the book I'd always dreamed of. Now I'm self-publishing it in my quest not to live life by the book. Are you in?
378B,,,,,
465C,Bloomers Presents: LaughtHERfest,Festivals,United States,Laura Petro,"Providing a platform for women to share their unique comedic voices, we'll show the world how kickass women in comedy are."
523C,By Hand: a lifestyle magazine for people who make and do,Periodicals,United States,Susan Gibbs & Jeannie Bloch,"By Hand Magazine is a quarterly magazine that celebrates cooking, gardening,knitting, sewing, DIY and do-gooding."
89B,Clarkesworld: Chinese Science Fiction Translation Project,Fiction,United States,Neil Clarke,There's a whole world of great science fiction published in other languages. Help us translate and publish them in Clarkesworld!
382C,Carl's Odyssey: A Series of Kid's Books,Children's Books,United States,Carl's Odyssey,Carl's Odyssey is a series of children's books about a little bulb of garlic who's lost in the grocery store and has to get back home.
77,SPIDER-MAN: THE MUSICAL... THE MUSICAL!,Musical,United States,The Colonel Mustard,"A play within a play (within a play?) The ""Inception"" of backyard musicals. With great power comes... little to no responsibility."
407B,What Big Eyes You've Got: new play with animations and music,Theater,United Kingdom,Katerina Pushkin,"Creating two work-in-progress showings of our new play, a sensory fairytale with original live music, animation, silly beards & carrots"
300B,"Enso Theatre Ensemble's ""Pride & Prejudice""",Plays,United States,Caitlin Lushington,"Perception. Impulse. Love. The Enso Theatre Ensemble presents Jane Austen's ""Pride & Prejudice"" like you've never seen it before."
569C,The Collector,Theater,United Kingdom,Archie Whyld,"The Collector is a play about beauty, power and love. Help us bring it to life in Bucharest and London..."
324B,South Brooklyn Shakespeare - 'Romeo & Juliet.',Theater,United States,Paul & Dee.,Free outdoor Summer Shakespeare on the streets of South Brooklyn!
394B,"Riot Act, Inc. presents The Threepenny Opera",Theater,United States,"Riot Act, Inc.",Riot Act Inc. presents The Threepenny Opera by Brecht & Weill.  Support this project for an unforgettable theatre experience.
281C,The Hive' - By The Human Zoo Theatre Company,Theater,United Kingdom,Florence O'Mahony,The Human Zoo's new touring production. A love story about rediscovering human connection in a coldmechanical world.
252C,INDIGO GREY Immersive Show Experience - STAFF PICK!,Immersive,United States,Hammerstep,"Blurring lines between today/tomorrowaudience/actortechnology/reality in a theatrical, walkthrough, ""Digital Reality Experience"""
205C,Frozen,Theater,United States,That G! Theatre,Botany. Ice. An undercurrent of violence. A luminous dissection of what makes us human and what lurks beneath our skins.
498C,"""Ghost in the Machine"" New York Premiere",Theater,United States,The Dead Copycats (deleted),"""Ghost in the Machine"" is a new play by Mike Leon, making its New York premiere at the Theater for the New City, Oct. 13th."
326B,THE ODYSSEY ON ANGEL ISLAND,Theater,United States,We Players,"We Players presents THE ODYSSEY on ANGEL ISLAND  an all-day, island-wide performance adventure in the San Francisco bay."
138C,4 TRAINS/ Signaling Arcana,Theater,United States,Christine Marie,A live scored shadow theater production featuring 3D special effects-a spectacle unlike any you've ever seen.
207B,Umma Yemaya,Plays,United States,Joy Yvonne Jones,Umma Yemaya is  a play that examines the challenges of unconventional love. The Lady  and the Artist create their own world for love.
202C,BIO-HAZARD: a relative comedy,Theater,United States,Sarah Elizabeth Greer,"Sarah Elizabeth Greer is found by her ""bio""which completely shifts her Reality. And suddenly EVERY impossibility becomes possible."
426B,Damn Fine Coffee! A Twin Peaks Fan Zine,Art Books,United States,Andrea Kalfas,A collection of artwork in homage to the notorious TV series Twin Peaks by nearly 30 talented illustrators.
338B,The Window,Plays,United States,Marta Mondelli,We're bringing The Window to the Cherry Lane Theater in January 2014.
228B,"tarp: Architecture Manual, Insidious Urbanism",Periodicals,United States,tarp: Architecture Manual,The Spring 2011 issue will take a critical look at urbanism and present design projects that operate in the margins of urban discourse.
380C,Ice Party (A Novel),Fiction,United States,Sumeet Banerji,Follow Charles as he experiments with a host of outrageous lifestyles. Kickstarter only handmade covers.
339C,Disasteroid! The Musical,Theater,United States,Jim Pierce & Zachary Bernstein,An original musical about living life to the fullest...while there's still time.
263B,ETERNAL HOUR,Theater,United States,Anonymous Ensemble,"A choose-your-own-adventure, live event, which explores how the audience can collaborate with the performers to build a world together."
448C,Hansel & Gretel: a shadow theatre book,Art Books,United States,Joe Freedman,A dark tale brought to life in five laser cut panels. You can read it as a book or project the artwork onto a wall with a flashlight.
280B,Titus Andronicus (with an all-female cast & crew),Plays,United States,G. Todd Buker,"Shakespeare's bloodiest tragedy, performed and produced exclusively by women."
124B,The Ride-Along: An Immersive Theatre Adventure for Two,Immersive,United States,José Pérez IV,It's a show in a car! Two audience members experience the action firsthand with a night in the life of two enthusiastic bounty hunters.
481C,BD WONG: LIVE CONCERT RECORDING of the musical HERRINGBONE,Theater,United States,BD WONG,11 roles! 14 songs! Recording this show for a CD is a dream project for BDW; it's dedicated lovingly to the memory of author TOM CONE.
367C,Soul Of Science - Art Book,Art Books,United States,Daniel Martin Diaz,128-page art book that explores the mystery of sciencenatureanatomyconsciousnessand the power of symbols by Daniel Martin Diaz.
312B,Too Much Light Heads to the Edinburgh Fringe!,Festivals,United States,"The (SF, NY & original) Neo-Futurists","Neo-Futurists from New York, Chicago and San Francisco unite to bring Too Much Light to the Edinburgh Fringe Festival!"
393B,SLFS Digital Deadline - Digital Projector Conversion,Theater,United States,Salt Lake Film Society,We're going digital! SLFS needs 7 digital projectors to present the movies you love. Beat the Digital Deadline @ Broadway & Tower.
389B,TheWholeWorldIsWatching : A Devised Promenade PlayWithMusic,Theater,United States,Stephen Ptacek,"Walk around with us as we explore life in Chicago during the week of the 1968 Democratic Convention with Drama, Movement and Song."
463C,Acrobatica Infiniti Circus - Circus & Geek Culture Collide,Theater,United States,Tana Karo,America's first and only traveling 'Nerd Circus' launch campaign has begun! Be part of our origin story: become an AI Super fan.
248B,Oedipus The Musical,Musical,United States,Monika Martin/Katie VanEtten,Oedipus The Musical takes the classic Greek tragedy and re-imagines it as a comedy for a modern audience.
269B,William H. Seward vs. the Soviet Super-Men,Theater,United States,Collin Sullivan,Cold War foes travel through time to change history in this comedy about America's purchase of Alaska.
336B,Bronies! The Musical,Musical,United States,Oddbird Theatricals,"In this musical love letter to the fandom experience, three outsiders find purpose, meaning & each other, all thanks to cartoon ponies."
217B,Icke,Fiction,United States,Greg Stolze,"I've written a lot of scary stories and I've won a few awards. This may be the best horror story I've written. Fund it, and I'll release it."
406C,Jasper in Deadlanda new musical,Musical,United States,Pasadena Musical Theatre Program,"""Jasper in Deadland"" tells the story of 16-year-old Jasperwho loses his best friend Agnes and travels into the afterlife to find her."
148B,Illustrated book: Wicked Children By Michele Hartsoe,Children's Books,United States,Sugar pill publishing,"Adventure storybook about an orphan sucked into an exciting world of Wicked Mystery, Magic and Mythical Creatures."
325C,CHASE: What Matters Most? at Dixon Place,Experimental,United States,ANIMALS Performance Group,This anonymous bank refuses to take the apocalypse seriously; lethal apathy and manic joy perform in CHASE: What Matters Most?
481B,CYMBELINE - British rebellion in Downtown Durham,Theater,United States,G. Todd Buker,Bare Theatre is starting a rebellion. We need your help.
629C,You smell like whiskey and bad choices,Theater,United States,Rebekah Rentzel,"A high paced physical show about friendship, whiskey, and bad choices, that features puppets, dance music, and mystery."
76,POLEROID THEATRE present the WORLD PREMIERE OF 'PEANUTS',Theater,GB,Molly Roberts,"A beautifully tender & comic new play by Ashleigh Packham, fusing music and projection to expose a vital, political and social story."
