S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
447B,United States,Kapow-I Gogo At The Pit,Plays,Colin Waitt,"The three part comedic saga of Kapow-i GoGo, who saves the world.  Again.  And again."
448B,United Kingdom,Marching On Together,Theater,Adam Hughes,Please help fund Adam Hughes dark and daring new play about the fall of the Leeds United hooligan scene.
449B,United States,"The Last Time We Were Here, A New Musical: Send Us To Nyc!",Musical,Jeremiah Hobbs & Jessica De Maria,THE LAST TIME WE WERE HERE needs to go THERE: Send us to NYC!
450B,United Kingdom,All Bare Theatre Bring The Maids To Edinburgh 2015,Plays,All Bare Theatre,"A bit of role-play never hurt anyone, right? Two maids play a game of murder. Genet's THE MAIDS in a visceral production by ALL BARE."
451B,United Kingdom,Caught,Theater,Leah Lawry-Johns,"Six characters. Three actresses. One murder.A new play about crime, betrayal and deceit comes to the Pleasance Theatre."
452B,United States,Hudson Warehouse: Celebrate Our 10Th Anniversary Season!,Theater,Nicholas Martin-Smith,"We produce free classical theater in Riverside Park, in New York City, and have for the past nine years."
453B,United States,"The Premiere Of Burglars Of Hamm's ""The Behavior Of Broadus""",Musical,Burglars Of Hamm,"The amazing, sort-of-true story of John Broadus Watson, father of Behaviorism and modern advertising: with singing, dancing rats!"
454B,United States,"""Dearly Beloved"" - A Colab Theatre Co. Production",Theater,The CoLab,"""Dearly Beloved"" is the first full production of The CoLab Theatre Co and a World-Premiere by Boston playwright Brendan Doris-Pierce."
455B,United States,"Latino A Play About Being Latino, Una Obra Sobre Ser Latino",Theater,Teatro Del Carmen,DId I mention the main character is a banana? ¿Te conté que el personaje principal es un plátano?
456B,United States,Emily Dickinson Outer Space!,Immersive,Theater Plastique,"A 72-hour intergalactic house party exploring the uncharted depths of Dickinson's poetry in search of what is American, wild, and free."
457B,United States,Waxwing: A New Play,Plays,Anna,WAXWING is an exciting new world premiere of mythic (perhaps even apocalyptic!) proportions.
458B,United States,The Nina Variations,Theater,Will Play For Food Theatre Group,"Will Play for Food' is bringing this fast paced, funny, heart breaking play to the Hollywood Fringe Festival...but we need help!"
459B,United States,Prometheus Within At La Mama,Theater,Theodora Skipitares,Support the creation and production of this new multi-disciplinary work  with live music by Sxip Shirey.
460B,United States,"Brindlebeast, A Radically Inclusive, Classically Scored, New American Musical.",Theater,Anita Riggio,A kid's book writer unwittingly conjures up the archetypal wise woman character who leads him to make peace with the beasts in his own daily life.
461B,United States,The Fat And Greasy Citizens Brigade,Theater,Heather Cipu & Alexis Truitt,"The Fat and Greasy Citizens Brigade: A New Washington, DC Based Theatre Company"
462B,United Kingdom,Two Punks And A Tandem,Theater,Callum Mitchell,"A hilarious, moving and madcap adventure. Brought to life with poetry, puppets and a kick-ass score."
463B,United States,Max Goldberg's 2011 Fall Comedy Tour!,Theater,Max Goldberg,Comedian Max Goldberg is embarking on a huge national stand-up comedy tour! Watch the video to learn how you can be my sponsor.
464B,United States,Poetic License 2013,Theater,Alex Mallory,"2nd annual festival of new poetic theater featuring plays & poetry by 20 of the most diverse, exciting voices from across the country."
465B,United States,Three Sciences' Horrible Truths Of The Ruling Class @ Iap,Theater,Three Sciences,"An exuberant satire exploring our cultural and universal thirst for wealth, recognition, and bygone precocity."
466B,United States,The Barbary Coast Revue. Party Like It's 1899!,Theater,Blake Wiers,Experience the wildest nights of the Gold Rush in this immersive musical about San Francisco's legendary red light district.
467B,United Kingdom,Free For All,Experimental,Richard O'Brien & Rebecca Martin,A new verse play about free schools: Edinburgh Fringe & Midlands tour. Help us cover production costs for our talented creative team.
468B,United States,Summer Shakespeare In Santa Fe,Theater,J Ferraccio,"Summer Shakespeare for the people of Santa Fe, NM!"
469B,United States,Gorilla Theater Productions Of C-Ville Presents: Macbeth,Theater,Anna Lien,Imagine a world that ran out of energy. And imagine the children of the people who came after. What will they do to attain Power?
470B,United States,Bring Night Sweats To Life!,Theater,EMP Collective,"Join B'more/DC artists in January on a mixed-media, on-your-feet theatrical voyage through an acid-laced dreamscape..."
471B,United States,64-A Vaudeville Of The Mind,Theater,Robert Prichard,"A collage of theater, art, music, video & sound-scapes"
472B,United States,Pchile Goyin (A Letting Go),Theater,New Noise,"We use puppets, music, projections and rigorous physicality in this piece that is as much ritual as it is performance."
473B,United States,"Archedream's ""Inside Out""- First Formal Performance In Usa",Theater,ArcheDream For Humankind,"After delighting hundreds of audiences in Taiwan & Portugal, ArcheDream is bringing a newly revamped ""Inside Out"" to the USA."
474B,United States,Of Honey Bees And The Brevity Of Such Things -- A New Multimedia Music Theatre Event!,Theater,Aaron Jones,"A new multimedia music theatre piece--music, live action, video, sound, turnips, bees,honey and other magic meld into a rich theatrical experience."
475B,United States,The Vivian Girls: A Play With Music.,Theater,Stacy Sims,Help us workshop our Henry Darger-inspired play with music in New York with a work-in-progress event at the American Folk Art Museum!
476B,United States,Produce My Play,Theater,Haden & Rose,"I recently wrote a play for my local children's theater, the Floyd Young Actors Co-op. It is about a boy band that tries emulating..."
477B,United States,Two Girls And A Breakdown,Theater,Kristina Miller,A Cabaret performance by Holly Long and Kristina Miller. Help support these up and coming actresses produce an amazing show!
478B,United States,And Then Came Tango,Festivals,Lindsay Amer,"A play for kids inspired by the true story of Roy and Silo, male Chinstrap penguins at the Central Park Zoo who caused a public outcry."
479B,United Kingdom,Girl From Nowhere: A New Play By Victoria Rigby,Theater,White Cloud Productions,Electrifying new play about a female rock singer in 60s Texas: an intimate glimpse behind closed doors as Jeannie's world crashes down.
480B,United States,"Exorcistic ""An Exorcist Rock Musical Parody""",Musical,Laura Anne Sperrazza,"Exorcistic-Winner of ""Best Musical"" at the Hollywood Fringe 2013 wants to continue it's life at the Sacred Fools Theater Company in LA"
481B,United States,Cymbeline - British Rebellion In Downtown Durham,Theater,G. Todd Buker,Bare Theatre is starting a rebellion. We need your help.
482B,United Kingdom,Rattleback Hoxton Gallery Theatre Residency,Theater,Rattleback,A new theatre company utilising innovative performance techniques to explore urgent new texts -- all within non-traditional spaces.
483B,United States,Go Comedy And Gbs Detroit Present Robocop! The Musical,Theater,Gbs Detroit,Go Comedy Improv Theatre and Groovebox Studios are teaming up to record the original soundtrack to ROBOCOP! The Musical.
484B,United States,Images Magazine #13 - The Golden Glory Of The Art I Love,Theater,Jim Vadeboncoeur Jr,Issue 13 of The Vadeboncoeur Collection Of ImageS. 60 pages of the most glorious color art from the turn of the 20th Century.
485B,Canada,"""Loving & Leaving Ed."" (Eating Disorder)",Musical,Nikki Policelli,"A musical/narrative that invites you into the journey of a young girl who endured, battled and defeated ""ED."" Her eating disorder."
486B,United States,The Hat,Plays,Greg Brisendine,"Six gay men, emotional baggage, and online dating: what could go wrong? A play about looking for love and finding something better."
487B,United Kingdom,The Rinse Cycle - Shrinking Wagner's Ring,Musical,Unexpected Opera,"It's Wagner's Ring Cycle conditioned with comedy and shrunk to one evening.  We'll tell the story of the Ring, with emerging singers."
488B,United States,Show:Up! -- The Best Dinner Party Ever On Tour,Immersive,The WBM Group,"Show:UP! is a new immersive, interactive, performance experience that takes place in real homes."
489B,France,"Spectacle En Son Et Lumière, Un ""Judo Show"" Unique",Theater,Judo Club Crèvecoeur,"Dans un univers totalement décalé entre judo et jeu de scéne, sérieux et burlesque le tout dans une ambiance conviviale et dynamique !"
490B,United States,"""Next Stop"" - Adjusting To Dating In Nyc",Plays,Noga Milstein,A new original play that follows two Israeli singles navigate the humorous and confusing dating scene of NYC.
492B,United States,Bluebirds By Joe Brondo,Plays,Joe Brondo,A guy named Walt steals a book and plans to sell it to get his life on track... until his wife finds out.
493B,United States,"Stuck, A Play By Jessica Goldberg",Theater,Sarmarie & Jayne,A passion project that we have decided to move to the main stage!
494B,United States,Fishtank Sends L'Histoire D'Amour To The New Orleans Fringe Festival,Theater,Heidi Van,Fishtank original production L'HISTOIRE D'AMOUR: A Clown Love Story tours to the Big Easy for the New Orleans Fringe Festival!
2,United States,Words Without Borders: Afghanistan Issue,Periodicals,Words Without Borders,An online issue of fiction and poetry from contemporary Afghan writers translated into English.
4,United States,1000 Fathoms Radio Show: Season One,Radio & Podcasts,Erin Gleeson,"The show is called ""1000 Fathoms"" and it features content you won't find on most public radio stations."
6,United States,The Clothes Letters Wear,Children's Books,Jeremy Dooley,Bring typography to life for your young child.
8,United States,Publish The First Issue Of Catamaran Literary Reader,Literary Journals,Catherine Segurson,Catamaran Literary Reader is a print magazine with themes rooted in California.
10,United States,The Raider's Companion (A How-To For Raiding),Nonfiction,"Adam ""Ferrel"" Trzonkowski",A highly detailed how-to guide for both the new and veteran MMORPG raider based on a decade of experience.
12,United States,Three Goats Gruff,Children's Books,Greg Luzniak,"Once upon a time, in a land far away, there lived three goats, and their names were Gruff."
14,United States,This Book Is About Travel (A Manual For Modern Movement),Nonfiction,Andrew Hyde,"I've spent the last two years on the road traveling to 11 countries. A collection of stories, photos and tips to get inspired and go!"
